,Position,Arousal,Score
507,"[72.31916, 1.363807, -85.59906]",1,0
508,"[72.31916, 1.363809, -85.59906]",1,0
509,"[72.31916, 1.363808, -85.59906]",1,0
510,"[72.31916, 1.363809, -85.59906]",1,0
511,"[72.31916, 1.363808, -85.59906]",1,0
512,"[72.31916, 1.36381, -85.59906]",1,0
513,"[72.31916, 1.363807, -85.59906]",1,0
514,"[72.31916, 1.363809, -85.59906]",1,0
515,"[72.31916, 1.363809, -85.59906]",1,0
516,"[72.31916, 1.363808, -85.59906]",1,0
517,"[72.31916, 1.363809, -85.59906]",1,0
518,"[72.31916, 1.363808, -85.59906]",1,0
519,"[72.31916, 1.36381, -85.59906]",1,0
520,"[72.31916, 1.363808, -85.59906]",1,0
521,"[72.31916, 1.363808, -85.59906]",1,0
522,"[72.31916, 1.363809, -85.59906]",1,0
523,"[72.31916, 1.363809, -85.59906]",1,0
524,"[72.31916, 1.363808, -85.59906]",1,0
525,"[72.31916, 1.36381, -85.59906]",1,0
526,"[72.31916, 1.36381, -85.59906]",1,0
